name,image,provinsi,location,description,sektorIndustri,modelBisnis,ukuranTim,pendanaan,keahlian,contact
RUMAH BANGKIT FAFIN,https://drive.pastibisa.app/1705992373_65af60b5634de.png,BANTEN,"Jl. Ki Ajurum, Komplek PU Pengairan Jl. Sempu Klp. Endep No.17, Cipare, Kec. Serang, Kota Serang, Banten 42117","RUMAH BANGKIT FAFIN oleh Ratu Irma menampilkan kue bangkit, kue sagon, dan teh rosella yang dibuat dari bahan pilihan. Setiap produk dijamin membangkitkan selera dan membawa kenikmatan autentik",FnB,B2C,6,"4,500,000",-,0878-1978-9923
UMA PANGAHA 98,https://drive.pastibisa.app/1705992315_65af607b2d343.png,NUSA TENGGARA BARAT,"Jl. Melati II No.98, Rembiga, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 84151","UMA PANGAHA 98 yang dikelola oleh Halimah, menawarkan berbagai kue kering yang lezat. Setiap kue dibuat dengan penuh cinta dan dedikasi, menjadikannya camilan sempurna di setiap kesempatan.",FnB,Hybrid B2B and B2C,6,"10,000,000",-,0878-6575-3702
Bakso Aci Ababwa,https://drive.pastibisa.app/1705992286_65af605e1f4fd.png,JAWA TIMUR,"Bulusan , semen RT 04 RW 06 no 28, Kabupaten Kediri, Jawa Timur 64161","Bakso Aci Ababwa oleh Fatiha Izzaz Imtiaz menawarkan bakso aci dengan tekstur kenyal dan rasa yang khas. Menyajikan pengalaman bersantap yang unik, Bakso Aci Ababwa menggugah selera.",FnB,B2C,1,"4,500,000",-,0858-5312-3474
LEGEND FOOD,https://drive.pastibisa.app/1705992234_65af602adb985.png,NUSA TENGGARA BARAT,"Jl. Majapahit No.1A, Kekalik Jaya, Kec. Sekarbela, Kota Mataram, Nusa Tenggara Bar. 83115","LEGEND FOOD oleh Heru Prayoga, spesialis dalam sosis dan bakso bakar. Dengan bumbu rahasia dan teknik memasak yang tepat, LEGEND FOOD menjanjikan kenikmatan yang legendaris.",FnB,B2C,2,"5,000,000",-,0823-3987-0664
Kulek Bunda Tiara,https://drive.pastibisa.app/1705992184_65af5ff819106.png,RIAU,"Jl. Perjuangan, Sri Meranti, Kec. Rumbai, Kota Pekanbaru, Riau 28266","Kulek Bunda Tiara yang dijalankan oleh Rika Asmeri, mengkhususkan diri dalam pembuatan produk spesifik/job order. Setiap produk dibuat dengan perhatian terhadap detail, memenuhi kebutuhan spesifik setiap pelanggan dengan keunggulan dan keaslian.",FnB,B2C,3,"1,000,000",-,0853-6725-0029
Allysa Tapis,https://drive.pastibisa.app/1705992143_65af5fcf236a6.png,LAMPUNG,"Jl. Cumi-Cumi No.8 rt31, RW.12, Yosodadi, Kec. Metro Tim., Kota Metro, Lampung 34112","Allysa Tapis, dipimpin oleh Siti Subaryani, mengekspresikan keindahan seni tradisional Indonesia melalui produk kain tapis yang berkualitas. Setiap helai kain diciptakan dengan dedikasi dan keahlian tinggi, merefleksikan warisan budaya yang kaya.",Textile,Hybrid B2B and B2C,3,"5,000,000",-,0821-7533-0040
raudhatul jannah bucket collection,https://drive.pastibisa.app/1705992097_65af5fa17e157.png,KALIMANTAN BARAT,"Jl. Karangan No.11, Bansir Laut, Kec. Pontianak Tenggara, Kota Pontianak, Kalimantan Barat 78124, Indonesia ","Raudhatul Jannah Bucket Collection, di bawah kepemimpinan Cici Dwi Purpasari, menyajikan koleksi bucket bunga yang elegan dan menawan. Setiap kreasi dirancang untuk menambah keindahan dan kehangatan di setiap momen istimewa Anda.",Production,B2C,2,"7,000,000",-,0858-2004-6265
Kreasi Arabian,https://drive.pastibisa.app/1705992068_65af5f84406f0.png,JAWA TENGAH,"Tembalang kulon No.35, RT.04/RW.02, Mruyung, Sudagaran, Kec. Banyumas, Kabupaten Banyumas, Jawa Tengah","Kreasi Arabian, dengan Galuh Novandwi sebagai pemimpin, menghadirkan tas kain kanvas yang dirancang dengan sentuhan gaya Timur Tengah. Produk ini cocok bagi Anda yang mencari kombinasi keunikan, kenyamanan, dan fungsionalitas.",Fashion,B2C,3,"9,950,000",-,0878-7500-2358
Kizuna,https://drive.pastibisa.app/1705992037_65af5f654a46e.png,KALIMANTAN BARAT,Jl. Sungai Raya Dalam Komplek Rafles Residence BB 04 Pontianak Tenggara,"Awalnya kizuna berdiri dengan nama lina accessories pada tahun 2012, memproduksi kerajinan rajut kecil seperti bros dan gantungan kunci, setelah melalui beberapa kali pameran dan ikut serta dalam beberapa organisasi seputar umkm, maka pada 2014 nama lina accesories diganti menjadi Kizuna dari bahasa jepang yang maknanya adalah ikatan, menggambarkan ikatan kepedulian kami pada kerajinan daerah, ikatan rajut yang tersambung senantiasa menggambarkan motif motif daerah kalimantan barat dan pada tahun 2017 diciptakannya pola motif corak insang yang ditampilkan secara perdana pada perhelatan kulminasi matahari pada bulan maret 2018.",Fashion,B2C,3,"5,000,000",-,0895-3726-93766
Ciciar,https://drive.pastibisa.app/1705962393_65aeeb992b00f.png,KALIMANTAN BARAT,"Jl. Selat Panjang, Siantan Hulu, Kec. Pontianak Utara, Kota Pontianak, Kalimantan Barat 78393","Kizuna, yang dipimpin oleh Lina Wanda, mempersembahkan koleksi tas rajutan yang dibuat dengan kasih sayang. Setiap tas adalah perpaduan antara estetika modern dan sentuhan tradisional, cocok untuk berbagai kesempatan.",Production,B2C,13,"5,000,000",-,0858-0465-7979
Azzam dan awa,https://drive.pastibisa.app/1705962379_65aeeb8b8ed2d.png,KALIMANTAN BARAT,"Jl. Tabrani Ahmad Jl. Komp. Delima Mas Permai blok A 32, Pal Lima, Kec. Pontianak Bar., Kota Pontianak, Kalimantan Barat 78121","Azzam dan Awa, di bawah kepemimpinan Tri Pradipta Septi, menawarkan tas anyaman yang unik dan stylish. Produk ini menggabungkan estetika tradisional dengan sentuhan modern, menjadikannya pilihan yang sempurna untuk setiap gaya.",Production,B2C,1,"1,000,000",-,0813-4553-5179
rere juna craft,https://drive.pastibisa.app/1705961350_65aee78684566.png,KALIMANTAN BARAT,"Komplek mekar baru regency no.d2, RW.2, Kapur, Kec. Pontianak Tim, Kabupaten Kubu Raya, Kalimantan Barat 78123","Rere Juna Craft, dipimpin oleh Esterlina S.E, menyediakan berbagai tas yang dirancang untuk menyatukan fungsionalitas dan gaya. Setiap tas merupakan hasil karya seni yang menonjolkan kecintaan pada detail dan kualitas.",Production,B2C,5,"8,000,000",-,0858-4965-9752
By Firly Bouquet,https://drive.pastibisa.app/1705961317_65aee76570cd6.png,BENGKULU,"Jl. Padang - Bengkulu No.54, Kp. Kelawi, Kec. Sungai Serut, Kota Bengkulu, Bengkulu 38117","By Firly Bouquet, dengan Theresya Adhelya sebagai pengusahanya, menawarkan bouquet yang dirancang khusus untuk mengungkapkan perasaan dan menghiasi setiap momen penting dalam hidup Anda dengan keindahan yang abadi.",Production,B2C,2,"9,500,000",-,0895-6215-05284
Handcraft Made by Minka,https://drive.pastibisa.app/1705961297_65aee75114ff4.png,MALUKU,"Jl. Pitu Ina Tuni VIII No.29, Kel Amantelu, Kec. Sirimau, Kota Ambon, Maluku","Handcraft Made by Minka, yang dipimpin oleh Mino Kastanya, menyajikan handcraft yang tiap detailnya dirancang dengan hati dan kreativitas. Produk ini membawa kehangatan dan keunikan pada setiap sudut ruangan Anda.",Production,B2C,1,"10,000,000",-,madebyminkacrafts@gmail.com
PENGINAPAN BERINGIN,https://drive.pastibisa.app/1705961134_65aee6aedf3d0.png,SULAWESI UTARA,"Tidore, Kec. Tahuna Tim., Kabupaten Kepulauan Sangihe, Sulawesi Utara, Indonesia ","Penginapan Beringin, di bawah naungan Junus Muhamad Taidi, menawarkan pengalaman menginap yang tenang dan nyaman. Dengan pelayanan yang ramah dan suasana yang menyenangkan, Penginapan Beringin siap menjadi tempat peristirahatan ideal bagi Anda.",Hospitality,B2C,3,"9,000,000",-,0853-9842-1658
JAJANAN KUE KERING DAN SAGU,https://drive.pastibisa.app/1705961123_65aee6a3dfebd.png,SULAWESI UTARA,"Jl. Cendrawasih No.13, Malendeng, Kec. Tikala, Kota Manado, Sulawesi Utara 95129","Di bawah kepemimpinan JIMRI MAKITULUNG, perusahaan kami berkomitmen menyajikan variasi kue kering yang lezat dan berkualitas. Setiap gigitan menjanjikan kenikmatan yang tulus dari resep tradisional dan inovasi terbaru kami.",FnB,B2C,2,"9,000,000",-,0896-9787-4910
Ocha Salon,https://drive.pastibisa.app/1705961109_65aee695e97af.png,SULAWESI TENGAH,"Jl. Labu, Balaroa, Kec. Palu Bar., Kota Palu, Sulawesi Tengah 94111, Indonesia","Dipimpin oleh Fadli Muhamad, Ocha Salon memberikan layanan gunting rambut profesional dengan perhatian pada detail dan kenyamanan pelanggan. Kami percaya setiap potongan rambut bukan hanya tentang gaya, tetapi juga tentang pengalaman yang menyenangkan.",Beauty,B2C,3,"5,000,000",-,ochasalonofficial90211@gmail.com
Prabu Satrio Collection,https://drive.pastibisa.app/1705961069_65aee66dd2b23.png,KALIMANTAN TIMUR,"Jl. Mayor Pol. Zainal Arifin, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur","Iwansyah, sebagai pengusaha di Prabu Satrio Collection, menghadirkan jasa menjahit dengan keterampilan tinggi dan akurasi pada setiap detail. Kami berdedikasi menghasilkan karya yang tidak hanya memenuhi, tetapi juga melebihi ekspektasi klien kami.",Services,B2C,2,"8,000,000",-,0822-5522-1369
MJ Grafika,https://drive.pastibisa.app/1705961049_65aee6595915c.png,KALIMANTAN TIMUR,"JL. Mayor Jenderal DI Panjaitan, Gunungsari Ulu, Balikpapan Tengah, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76122","Dengan Pamudji di garis depan, MJ Grafika memfokuskan diri pada pembuatan stempel dan sablon plastik berkualitas. Kami menggabungkan teknologi terkini dan sentuhan kreatif untuk menghasilkan produk yang mengesankan dan tahan lama.",Retail,B2C,3,"10,000,000",-,(0542) 5654996
Penjahit Daya Guna,https://drive.pastibisa.app/1705961035_65aee64b66600.png,KALIMANTAN TIMUR,"Jl. Siaga No.42 RT 024/06, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114","Lukmanul Hakim membawa keterampilan dan ketelitian dalam setiap jahitan di Penjahit Daya Guna. Kami menjamin setiap karya jahit kami menggabungkan kekuatan, keindahan, dan fungsi yang optimal.",Services,B2C,1,"4,250,000",-,(0542) 730295
Penjahit Ulfa,https://drive.pastibisa.app/1705961019_65aee63be6bd7.png,KALIMANTAN TIMUR,"Jl. Indrakila, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76124","Hapsah, sebagai pemilik Penjahit Ulfa, berkomitmen memberikan layanan jahit baju dengan standar kualitas tertinggi. Kami mendengarkan dan mewujudkan setiap detail permintaan pelanggan dengan presisi dan perhatian.",Services,B2C,1,"8,000,000",-,hapsah1289@gmail.com
Haya Fashion,https://drive.pastibisa.app/1705960832_65aee5808f1c4.png,DI YOGYAKARTA,"Jl. Dukuh Mantrijeron No.1440, Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55142","Di bawah arahan Munawaroh, Haya Fashion menonjol dalam industri konveksi baju wanita. Dengan perpaduan antara desain kontemporer dan kenyamanan, setiap kreasi kami dirancang untuk memperkaya penampilan dan kepercayaan diri setiap wanita.",Fashion,B2C,1,"2,000,000",-,officialhayafashionyk@gmail.com
GEULIS BONGAS,https://drive.pastibisa.app/1705960820_65aee57458f85.png,DI YOGYAKARTA,"mangkuyudan MJ 3 No.218, RT.23/RW.07, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143","R LELA NURLELA membawa seni dalam setiap produk craft tas goni di GEULIS BONGAS. Setiap tas adalah pernyataan gaya yang tangguh, menonjolkan keindahan dan kekuatan material pilihan.",Production,B2C,7,"10,000,000",-,0813-1498-0360
Zuaeroh Fashion,https://drive.pastibisa.app/1705960804_65aee564bc08b.png,DI YOGYAKARTA,"Prawirodirjan GM 2/957, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Umi Muji Lestari, sang pengusaha di Zuaeroh Fashion, berdedikasi menghadirkan batik cap yang menggabungkan tradisi dan inovasi. Setiap motif adalah kisah yang dikemas dalam corak dan warna yang memukau.",Fashion,B2C,7,"4,500,000",-,0813-5883-8427
Tukik,https://drive.pastibisa.app/1705960781_65aee54df3e15.png,DI YOGYAKARTA,"Jl. Gendeng GK 4 No.711, Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55225","Yenny Christin di Tukik menyediakan alas panas yang tidak hanya fungsional tetapi juga estetis. Produk kami dirancang untuk melindungi dengan gaya, menjadikannya tambahan sempurna untuk setiap rumah.",Textile,B2C,12,"6,500,000",-,0853-2561-5677
Arsix Collection,https://drive.pastibisa.app/1705960762_65aee53a6de04.png,SULAWESI SELATAN,"BTN.GOWA PELITA MAS BLOK A3/18 KALEDUPAYA, Jl. Pelita Taeng, Sungguminasa, Kec. Pallangga, Kabupaten Gowa, Sulawesi Selatan 92612","Didirikan oleh Andi Repliati Aripin, Arsix Collection menawarkan rangkaian kain berkualitas tinggi yang didesain untuk memenuhi kebutuhan dan gaya pelanggan modern. Kami berkomitmen untuk menyediakan produk yang menggabungkan kualitas, kenyamanan, dan gaya.",Services,B2C,2,"5,000,000",-,0852-4120-6569
Abiy Cell,https://drive.pastibisa.app/1705960719_65aee50f29e0b.png,SULAWESI SELATAN,"BTP Bumi Tamalanrea Permai, Jl. Bumi Tamalanrea Permai Blok M No.38, Tamalanrea, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245","Mucksin Darfin, pendiri Abiy Cell, membawa revolusi dalam dunia komunikasi dengan menyediakan kartu data yang andal dan cepat. Abiy Cell berkomitmen untuk memastikan bahwa setiap pelanggan selalu terhubung dengan dunia tanpa hambatan.",Internet,Hybrid B2B and B2C,1,"10,000,000",-,0853-1111-1981
Rumah Jahit Emma Modiste,https://drive.pastibisa.app/1705960683_65aee4eb3a8cf.png,BENGKULU,BENGKULU,"Rahima, dengan keahlian dan pengalaman bertahun-tahun, menawarkan jasa jahit dan permak pakaian yang teliti dan detail di Rumah Jahit Emma Modiste. Setiap jahitan dibuat dengan kecintaan dan ketelitian, memastikan setiap klien mendapatkan hasil yang sempurna.",Services,B2C,1,"9,500,000",-,Ig: @emmamo.r.j
TENUN BELIDA BAYAN,https://drive.pastibisa.app/1705960667_65aee4dbb07fd.png,NUSA TENGGARA BARAT,"Barat, Bayan, Lombok, Nusa Tenggara Barat 83354","Denda Candrasih menghadirkan keindahan dan keunikan Kain Tenun melalui TENUN BELIDA BAYAN. Setiap lembar kain adalah cerita, ditenun dengan teknik tradisional dan desain yang autentik, mencerminkan warisan dan kekayaan budaya lokal.",Textile,B2C,4,"5,000,000",-,0819-9687-0090
Batik Srikandi,https://drive.pastibisa.app/1705951044_65aebf447087f.png,LAMPUNG,"Gg. Merpati, Pinang Jaya, Kec. Kemiling, Kota Bandar Lampung, Lampung 35153","Wahid Ali Sidik, di Batik Srikandi, dengan bangga menyajikan batik yang tidak hanya merupakan pakaian tetapi juga karya seni. Setiap kain batik adalah perpaduan antara seni, tradisi, dan inovasi, menciptakan produk yang tak lekang oleh waktu dan penuh makna.",Textile,Hybrid B2B and B2C,5,"6,000,000",-,0896-5158-9927
AIKU,https://firebasestorage.googleapis.com/v0/b/aimee-6d10e.appspot.com/o/logos%2F1696163175456?alt=media&token=e6c117fd-eddf-4f28-a2ee-524918d7758e,BANTEN,"Modern, Jl. Jenderal Sudirman No.40, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117","AIKU adalah teknologi canggih AI untuk memantau dan menganalisis kualitas udara di sekitarmu. Dapatkan informasi tentang polusi udara, identifikasi sumbernya, dan pahami dampaknya pada kesehatan dan lingkungan.",Technology and Information,SaaS,7,"199,500,000",Teknologi dan Pengembangan Produk,aiku@alphabetincubator.id
Alphabet Blockchain,https://firebasestorage.googleapis.com/v0/b/aimee-6d10e.appspot.com/o/logos%2F1695745022650?alt=media&token=91463c33-9e13-48e1-8b8c-10e08e21141a,BANTEN,"Modern, Jl. Jenderal Sudirman No.40, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117",Startupreneur sukses di bidang teknologi Blockchain untuk autentikasi dan verifikasi Dokumen.,Blockchain,SaaS,5,"85,000,000",Teknologi dan Pengembangan Produk,0812-8385-1118
BigBoyz,https://firebasestorage.googleapis.com/v0/b/aimee-6d10e.appspot.com/o/logos%2F1696164572099?alt=media&token=f371ea82-5307-4113-a187-328d7beda804,BANTEN,"Modern, Jl. Jenderal Sudirman No.40, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117","Bigboyz merupakan startup yang berfokus untuk mengembangkan sistem canggih menggunakan blockchain, AI, dan sebagainya. Alfabet Inkubator Indonesia sebagai tempat bernaung BigBoyz telah memberikan dukungan untuk terus dapat berkarya dan mengembangkan inovasi IT. Saat ini Bigboyz telah menjadi startupreneur layanan teknologi informasi dan super Artificial Intelligence canggih yang siap membantu startup lain untuk mewujudkan mimpinya 🚀.",Digital Business Development,Hybrid B2B and B2C,5,"75,000,000",Teknologi dan Pengembangan Produk,bigboyz@alphabetincubator.id
Bosindo,https://firebasestorage.googleapis.com/v0/b/aimee-6d10e.appspot.com/o/logos%2F1696164921730?alt=media&token=4420a6ae-24fb-430b-a0e3-85d911665de8,BANTEN,"Modern, Jl. Jenderal Sudirman No.40, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117","BOSINDO memberikan layanan IT yang penuh inovasi dan strategi. Fokus utama kami adalah menciptakan pengalaman pengguna yang luar biasa, solusi mobile maupun web, serta berbagai layanan IT lain yang mendukung perkembangan bisnis di dunia digital.",Digital Business Development,Hybrid B2B and B2C,6,"75,000,000","BOSINDO memberikan layanan IT yang penuh inovasi dan strategi. Fokus utama kami adalah menciptakan pengalaman pengguna yang luar biasa, solusi mobile maupun web, serta berbagai layanan IT lain yang mendukung perkembangan bisnis di dunia digital.",support.bigboyz@alphabetincubator.id
Kopi CAI,https://aimee.alphabetincubator.id/wp-content/uploads/2022/10/IMG-20220921-WA0030-removebg-preview.png,BANTEN,"Modern, Jl. Jenderal Sudirman No.40, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117",Startupreneur favorit di bidang kopi yang sejalan dengan kegiatan Tri Dharma pengabdian masyarakat.,FnB,B2C,6,"80,000,000",Pemasaran dan Strategi Penjualan,0858-8383-9628
Kreatif Desain,https://firebasestorage.googleapis.com/v0/b/aimee-6d10e.appspot.com/o/logos%2F1696164331371?alt=media&token=741b31b4-32b3-47d3-a56b-d4bc5ed1d788,BANTEN,"Modern, Jl. Jenderal Sudirman No.40, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117","Kreatif Desain atau KD adalah Start Up yang bergerak pada jasa digital marketing untuk mempromosikan sebuah merek dengan menggunakan media digital yang dapat menjangkau konsumen secara tepat, dan relevan. Dengan dihadirkan nya official site Kreatif Desain dapat membantu masyarakat dalam social branding. Dimana melalui KD akan membantu terutama para pelaku UMKM untuk menjadikan koneksi yang luas dengan customer, untuk menjadi unggulan penggerak ekosistem ekonomi dengan meningkatkan konversi penjualan, membantu bisnis agar bisa bersaing dengan kompetitor, membuat bisnis marketing terlihat lebih profesional, dan memperluas jangkauan pasar produk.",Graphic Design and Creative,Hybrid B2B and B2C,3,"254,600,000",Teknologi dan Pengembangan Produk,kreatifdesain@alphabetincubator.id
Magic Board,https://firebasestorage.googleapis.com/v0/b/aimee-6d10e.appspot.com/o/logos%2F1695745304021?alt=media&token=37a1a6de-1c24-41a2-9082-9af97683f568,BANTEN,"Modern, Jl. Jenderal Sudirman No.40, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117",Startupreneur dengan inovasi papan tulis  menggunakan Plexiglass.,EduTech,SaaS,8,"70,000,000",Teknologi dan Pengembangan Produk,mrs@raharja.info
Pandawan,https://firebasestorage.googleapis.com/v0/b/aimee-6d10e.appspot.com/o/logos%2F1696163206949?alt=media&token=cf212f1f-9206-4cc0-99d4-b28dc7121853,BANTEN,"Jl. Premier Park 2 No.11 Blok B, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117","Sebuah layanan yang menyediakan kemudahan dalam menciptakan dan mengelola semua kegiatan belajar mengajar. Layanan ini mencakup pengelolaan jurnal, peningkatan kolaborasi, lokakarya pengembangan diri, dan pendekatan terapan.",Open Journal System,B2C,20,"130,000,000",Pemasaran dan Strategi Penjualan,0857-7883-4017
Pandopo Catring,https://firebasestorage.googleapis.com/v0/b/aimee-6d10e.appspot.com/o/logos%2F1696163306453?alt=media&token=47705090-41b5-4586-b3db-0098e2e0502c,BANTEN,"Modern, Jl. Jenderal Sudirman No.40, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117",Startupreneur Food & Beverage yang memproduksi catering sehat tanpa MSG dengan mengkombinasikan masakan nusantara.,FnB,B2C,5,"80,000,000",Pemasaran dan Strategi Penjualan,0858-8383-9628
Renewable Energy,https://firebasestorage.googleapis.com/v0/b/aimee-6d10e.appspot.com/o/logos%2F1696163611447?alt=media&token=1967a1b6-6935-427a-9dc4-38d35e070128,BANTEN,"Modern, Jl. Jenderal Sudirman No.40, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117","Energi terbarukan (renewable energy) adalah energi yang berasal dari sumber-sumber alamiah seperti sinar matahari, angin, hujan, geothermal dan biomassa. Pada tahun 2006 sekitar 18% konsumsi energi dunia berasal dari sumber-sumber energi  terbarukan dan jumlah ini cenderung meningkat terus dari tahun ke tahun. Saat ini belum tersedia teknologi yang dapat mengambilalih produksi energy dari bahan bakar fosil, namun beberapa teknologi yang disebutkan di atas sangat menjanjikan dan berpotensi dikembangkan di Indonesia",Green Technology,B2B,5,"3,750,000",Teknologi dan Pengembangan Produk,rey@raharja.info
Salted Egg Milea,https://aimee.alphabetincubator.id/wp-content/uploads/2022/10/WhatsApp_Image_2022-10-10_at_15.21.50-removebg-preview-e1665411778643.png,BANTEN,"Modern, Jl. Jenderal Sudirman No.40, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117",Startupreneur food and beverage yang memproduksi telur asin sebagai kuliner nusantara dengan kearifan lokal.,FnB,B2C,3,"80,000,000",Pemasaran dan Strategi Penjualan,0858-8383-9628
Sesindo,https://firebasestorage.googleapis.com/v0/b/aimee-6d10e.appspot.com/o/logos%2F1696166259426?alt=media&token=ce934d32-413f-408d-93a6-0342cb0296ae,BANTEN,"Modern, Jl. Jenderal Sudirman No.40, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117",SESINDO atau bisa disebut dengan SENI SEJAHTERA INDONESIA adalah sebuah startup yang dibuat oleh mahasiswa Universitas Raharja dan dikembangkan oleh Alphabet Incubator. Dalam setiap proses pembuatan akrilik ini membutuhkan waktu yang tidak sebentar. Dengan hasil karya yang memuaskan juga tidak kalah saing dengan karya seni akrilik di luar sana. Dalam membuat merchandise ini kita menggunakan mesin CNC Router.,Production,B2C,5,"122,000,000",Pemasaran dan Strategi Penjualan,sesindo@alphabetincubator.id
Thazeen,https://firebasestorage.googleapis.com/v0/b/aimee-6d10e.appspot.com/o/logos%2F1695745897026?alt=media&token=f5cbefad-7793-49e7-9279-678f3d6da741,BANTEN,"Modern, Jl. Jenderal Sudirman No.40, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117",Startupreneur yang berdiri untuk membantu persediaan barang sebuah company,Technology and Information,Hybrid B2B and B2C,15,"70,000,000",Pemasaran dan Strategi Penjualan,thazeen@alphabetincubator.id
Rava Pet Shop,https://drive.pastibisa.app/1705951025_65aebf31b2c27.png,KALIMANTAN TIMUR,"Jl. MT. Haryono No.118, Api-Api, Kec. Bontang Utara, Kota Bontang, Kalimantan Timur 75325",,Petshop,B2C,4,"20,000,000",-,0859-3671-6530
